ano,muni_id,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
2010,3529906,MIRACATU,SP,Sudeste,0.697,0.655,0.803,0.645,73.18,442.77,0.5,20336,-24.281,-47.46
2010,3530003,MIRA ESTRELA,SP,Sudeste,0.743,0.731,0.806,0.697,73.34,613.14,0.43,2820,-19.979,-50.137
2010,3530102,MIRANDÓPOLIS,SP,Sudeste,0.751,0.665,0.869,0.732,77.12,758.64,0.45,24287,-21.134,-51.102
2010,3530201,MIRANTE DO PARANAPANEMA,SP,Sudeste,0.724,0.674,0.841,0.67,75.45,516.3,0.5,16718,-22.292,-51.906
2010,3530300,MIRASSOL,SP,Sudeste,0.762,0.698,0.846,0.748,75.76,841.27,0.43,53576,-20.819,-49.521
2010,3530409,MIRASSOLÂNDIA,SP,Sudeste,0.738,0.69,0.829,0.704,74.76,639.58,0.39,4288,-20.617,-49.464
2010,3530508,MOCOCA,SP,Sudeste,0.762,0.709,0.827,0.756,74.63,881.99,0.53,65734,-21.468,-47.005
2010,3530607,MOGI DAS CRUZES,SP,Sudeste,0.783,0.74,0.851,0.762,76.07,916.81,0.54,385957,-23.523,-46.188
2010,3530706,MOGI GUAÇU,SP,Sudeste,0.774,0.736,0.852,0.74,76.1,802.19,0.44,136821,-22.372,-46.942
2010,3530805,MOJI MIRIM,SP,Sudeste,0.784,0.715,0.879,0.767,77.74,945.62,0.49,85784,-22.432,-46.958
2010,3530904,MOMBUCA,SP,Sudeste,0.719,0.607,0.82,0.746,74.18,832.07,0.61,3261,-22.929,-47.566
2010,3531001,MONÇÕES,SP,Sudeste,0.772,0.773,0.814,0.731,73.81,755.2,0.43,2128,-20.85,-50.092
2010,3531100,MONGAGUÁ,SP,Sudeste,0.754,0.699,0.854,0.719,76.24,699.73,0.5,44662,-24.087,-46.629
2010,3531209,MONTE ALEGRE DO SUL,SP,Sudeste,0.759,0.678,0.858,0.752,76.5,861.61,0.48,7128,-22.682,-46.681
2010,3531308,MONTE ALTO,SP,Sudeste,0.768,0.707,0.859,0.746,76.56,832.6,0.42,46499,-21.261,-48.496
2010,3531407,MONTE APRAZÍVEL,SP,Sudeste,0.785,0.72,0.861,0.781,76.64,1032.05,0.5,21662,-20.773,-49.714
2010,3531506,MONTE AZUL PAULISTA,SP,Sudeste,0.753,0.69,0.843,0.733,75.56,765.11,0.46,18862,-20.907,-48.641
2010,3531605,MONTE CASTELO,SP,Sudeste,0.741,0.709,0.814,0.706,73.81,646.15,0.38,4063,-21.299,-51.569
2010,3531704,MONTEIRO LOBATO,SP,Sudeste,0.71,0.627,0.826,0.692,74.53,593.95,0.48,4095,-22.957,-45.84
2010,3531803,MONTE MOR,SP,Sudeste,0.733,0.639,0.863,0.713,76.78,674.23,0.44,48724,-22.947,-47.316
2010,3531902,MORRO AGUDO,SP,Sudeste,0.712,0.604,0.836,0.716,75.15,687.37,0.45,29050,-20.731,-48.058
2010,3532009,MORUNGABA,SP,Sudeste,0.715,0.627,0.802,0.726,73.1,733.72,0.41,11730,-22.88,-46.792
2010,3532058,MOTUCA,SP,Sudeste,0.741,0.691,0.859,0.685,76.51,567.17,0.45,4009,-21.508,-48.151
2010,3532108,MURUTINGA DO SUL,SP,Sudeste,0.726,0.643,0.847,0.703,75.84,636.47,0.43,4140,-20.993,-51.278
2010,3532157,NANTES,SP,Sudeste,0.714,0.702,0.79,0.655,72.41,472.28,0.35,2707,-22.621,-51.237
2010,3532207,NARANDIBA,SP,Sudeste,0.718,0.67,0.839,0.659,75.33,482.74,0.36,4266,-22.407,-51.524
2010,3532306,NATIVIDADE DA SERRA,SP,Sudeste,0.655,0.52,0.814,0.664,73.86,496.93,0.51,6500,-23.376,-45.442
2010,3532405,NAZARÉ PAULISTA,SP,Sudeste,0.678,0.559,0.818,0.681,74.08,554.18,0.45,16163,-23.181,-46.395
2010,3532504,NEVES PAULISTA,SP,Sudeste,0.754,0.707,0.823,0.737,74.38,784.55,0.4,8745,-20.846,-49.63
2010,3532603,NHANDEARA,SP,Sudeste,0.751,0.672,0.835,0.755,75.08,878.42,0.49,10492,-20.694,-50.038
2010,3532702,NIPOÃ,SP,Sudeste,0.713,0.636,0.814,0.701,73.81,628.33,0.37,4268,-20.913,-49.778
2010,3532801,NOVA ALIANÇA,SP,Sudeste,0.738,0.684,0.826,0.71,74.56,662.48,0.38,5858,-21.016,-49.496
2010,3532827,NOVA CAMPINA,SP,Sudeste,0.651,0.577,0.799,0.598,72.94,330.03,0.47,8404,-24.121,-48.904
